HackID,HackCounty,Gender,Race,Ethnicity
19980,0,Female,Black/African American,N= Not Hispanic Origin
20165,134,Male,White,N= Not Hispanic Origin
20202,0,Male,White,N= Not Hispanic Origin
20683,201,Female,White,N= Not Hispanic Origin
21275,201,Female,White,N= Not Hispanic Origin
21312,201,Male,White,N= Not Hispanic Origin
21460,6834,Female,White,N= Not Hispanic Origin
21645,134,Male,Other,N= Not Hispanic Origin
21682,201,Male,White,N= Not Hispanic Origin
21830,0,Female,White,N= Not Hispanic Origin
21904,0,Male,Black/African American,N= Not Hispanic Origin
22052,201,Female,White,N= Not Hispanic Origin
22163,0,Female,Black/African American,N= Not Hispanic Origin
22274,201,Female,White,N= Not Hispanic Origin
22348,0,Female,Black/African American,N= Not Hispanic Origin
22385,201,Female,White,N= Not Hispanic Origin
22570,134,Female,White,N= Not Hispanic Origin
23199,201,Male,White,N= Not Hispanic Origin
23310,201,Female,White,N= Not Hispanic Origin
23458,0,Male,Black/African American,N= Not Hispanic Origin
23606,0,Female,Black/African American,N= Not Hispanic Origin
23754,0,Male,White,N= Not Hispanic Origin
23902,0,Female,White,N= Not Hispanic Origin
23939,201,Female,White,N= Not Hispanic Origin
24124,201,Male,White,N= Not Hispanic Origin
24198,0,Female,White,N= Not Hispanic Origin
24790,0,Female,White,N= Not Hispanic Origin
24975,0,Male,Other,N= Not Hispanic Origin
25012,201,Female,White,N= Not Hispanic Origin
25086,0,Female,White,N= Not Hispanic Origin
25197,0,Female,White,N= Not Hispanic Origin
25234,134,Male,Black/African American,N= Not Hispanic Origin
25308,0,Male,White,N= Not Hispanic Origin
25345,0,Female,White,N= Not Hispanic Origin
25419,0,Male,White,N= Not Hispanic Origin
25456,134,Male,White,N= Not Hispanic Origin
25493,0,Female,White,N= Not Hispanic Origin
25567,0,Female,White,N= Not Hispanic Origin
25604,134,Female,White,N= Not Hispanic Origin
25715,0,Female,White,N= Not Hispanic Origin
25752,0,Male,White,N= Not Hispanic Origin
25789,0,Female,White,N= Not Hispanic Origin
25863,0,Female,Black/African American,N= Not Hispanic Origin
26196,134,Female,White,N= Not Hispanic Origin
26381,6834,Female,White,N= Not Hispanic Origin
26862,0,Female,White,N= Not Hispanic Origin
26936,201,Female,White,N= Not Hispanic Origin
27010,201,Female,White,N= Not Hispanic Origin
27195,201,Male,White,N= Not Hispanic Origin
27343,201,Female,White,N= Not Hispanic Origin
27491,201,Female,White,N= Not Hispanic Origin
27750,201,Female,White,N= Not Hispanic Origin
27824,201,Female,White,N= Not Hispanic Origin
28009,201,Female,White,N= Not Hispanic Origin
28083,201,Male,Other,N= Not Hispanic Origin
28342,201,Male,White,N= Not Hispanic Origin
28416,201,Male,White,N= Not Hispanic Origin
28490,201,Female,White,N= Not Hispanic Origin
28601,67,Female,White,N= Not Hispanic Origin
28712,201,Female,White,N= Not Hispanic Origin
28897,0,Female,White,N= Not Hispanic Origin
28934,6834,Female,Other,N= Not Hispanic Origin
29193,201,Male,White,N= Not Hispanic Origin
29415,201,Male,Black/African American,N= Not Hispanic Origin
29748,201,Male,White,N= Not Hispanic Origin
29785,201,Female,White,N= Not Hispanic Origin
29970,201,Male,Black/African American,N= Not Hispanic Origin
30044,201,Female,White,N= Not Hispanic Origin
30414,201,Female,White,N= Not Hispanic Origin
30451,0,Female,Black/African American,N= Not Hispanic Origin
30710,0,Female,White,N= Not Hispanic Origin
30895,201,Male,Black/African American,N= Not Hispanic Origin
31080,6834,Female,Black/African American,N= Not Hispanic Origin
31228,201,Male,White,N= Not Hispanic Origin
31598,6834,Male,White,N= Not Hispanic Origin
31635,201,Female,White,N= Not Hispanic Origin
31672,201,Male,White,N= Not Hispanic Origin
31857,201,Female,Black/African American,N= Not Hispanic Origin
32042,201,Female,Black/African American,N= Not Hispanic Origin
32338,0,Male,Black/African American,N= Not Hispanic Origin
32375,134,Female,White,N= Not Hispanic Origin
32745,201,Male,Black/African American,N= Not Hispanic Origin
33115,134,Female,White,N= Not Hispanic Origin
33226,201,Male,White,N= Not Hispanic Origin
33929,201,Male,Black/African American,N= Not Hispanic Origin
33966,0,Male,White,N= Not Hispanic Origin
34003,201,Male,Black/African American,N= Not Hispanic Origin
34114,201,Male,White,N= Not Hispanic Origin
34225,201,Male,White,N= Not Hispanic Origin
34595,0,Male,White,N= Not Hispanic Origin
34632,268,Male,Black/African American,N= Not Hispanic Origin
34743,0,Female,Black/African American,N= Not Hispanic Origin
34817,6901,Male,Other,N= Not Hispanic Origin
35002,201,Male,White,N= Not Hispanic Origin
35039,201,Female,Black/African American,N= Not Hispanic Origin
35187,0,Male,Other,N= Not Hispanic Origin
35298,201,Male,White,N= Not Hispanic Origin
35372,201,Male,White,N= Not Hispanic Origin
35631,201,Male,White,N= Not Hispanic Origin
35890,201,Male,White,N= Not Hispanic Origin
36075,201,Female,White,N= Not Hispanic Origin
36149,201,Female,White,N= Not Hispanic Origin
36186,201,Female,White,N= Not Hispanic Origin
36223,201,Female,White,N= Not Hispanic Origin
36260,201,Female,White,N= Not Hispanic Origin
36704,268,Male,White,N= Not Hispanic Origin
36741,201,Male,White,N= Not Hispanic Origin
36852,201,Male,Black/African American,N= Not Hispanic Origin
37259,201,Male,White,N= Not Hispanic Origin
37296,201,Female,White,N= Not Hispanic Origin
37370,201,Female,White,N= Not Hispanic Origin
37444,0,Male,Black/African American,N= Not Hispanic Origin
37481,268,Male,Black/African American,N= Not Hispanic Origin
37666,201,Female,White,N= Not Hispanic Origin
37999,201,Female,Black/African American,N= Not Hispanic Origin
38184,201,Male,Black/African American,N= Not Hispanic Origin
38258,201,Male,White,N= Not Hispanic Origin
38480,201,Female,Black/African American,N= Not Hispanic Origin
38850,201,Female,White,N= Not Hispanic Origin
38887,201,Male,White,N= Not Hispanic Origin
38961,201,Male,White,N= Not Hispanic Origin
39183,0,Female,White,N= Not Hispanic Origin
39479,134,Female,White,N= Not Hispanic Origin
39775,201,Female,White,N= Not Hispanic Origin
39849,201,Female,Black/African American,N= Not Hispanic Origin
40293,201,Female,White,N= Not Hispanic Origin
40367,201,Female,Black/African American,N= Not Hispanic Origin
40478,201,Female,White,N= Not Hispanic Origin
40589,201,Female,White,N= Not Hispanic Origin
40626,201,Female,White,N= Not Hispanic Origin
40848,201,Female,White,N= Not Hispanic Origin
40885,201,Male,Black/African American,N= Not Hispanic Origin
40922,201,Female,White,N= Not Hispanic Origin
40996,201,Female,White,N= Not Hispanic Origin
41181,201,Male,Black/African American,N= Not Hispanic Origin
41218,201,Female,White,N= Not Hispanic Origin
41588,201,Female,Black/African American,N= Not Hispanic Origin
41921,201,Male,Black/African American,N= Not Hispanic Origin
42550,268,Female,White,N= Not Hispanic Origin
42661,268,Male,White,N= Not Hispanic Origin
42735,268,Male,White,N= Not Hispanic Origin
42772,134,Male,White,N= Not Hispanic Origin
42920,134,Female,Black/African American,N= Not Hispanic Origin
42957,134,Male,Black/African American,N= Not Hispanic Origin
42994,134,Male,Black/African American,N= Not Hispanic Origin
43031,134,Female,White,N= Not Hispanic Origin
43105,134,Female,White,N= Not Hispanic Origin
43253,134,Female,White,N= Not Hispanic Origin
43475,134,Female,White,N= Not Hispanic Origin
43623,0,Male,Black/African American,N= Not Hispanic Origin
43660,0,Female,White,N= Not Hispanic Origin
43697,201,Female,White,N= Not Hispanic Origin
43882,201,Female,White,N= Not Hispanic Origin
43993,134,Female,White,N= Not Hispanic Origin
44030,134,Female,Black/African American,N= Not Hispanic Origin
44104,134,Male,Black/African American,N= Not Hispanic Origin
44215,0,Male,White,N= Not Hispanic Origin
44252,134,Female,Black/African American,N= Not Hispanic Origin
44326,134,Female,Asian,N= Not Hispanic Origin
44363,201,Male,White,N= Not Hispanic Origin
44400,0,Male,Black/African American,N= Not Hispanic Origin
44474,201,Female,White,N= Not Hispanic Origin
44548,201,Female,Black/African American,N= Not Hispanic Origin
44659,201,Female,White,N= Not Hispanic Origin
44733,201,Female,White,N= Not Hispanic Origin
44881,201,Female,White,N= Not Hispanic Origin
45140,268,Female,Black/African American,N= Not Hispanic Origin
45214,134,Male,Black/African American,N= Not Hispanic Origin
45251,268,Female,Black/African American,N= Not Hispanic Origin
45288,201,Female,White,N= Not Hispanic Origin
45436,201,Female,White,N= Not Hispanic Origin
45510,201,Female,White,N= Not Hispanic Origin
45547,201,Female,White,N= Not Hispanic Origin
45658,201,Male,White,N= Not Hispanic Origin
45732,6968,Male,Black/African American,N= Not Hispanic Origin
45806,201,Male,White,N= Not Hispanic Origin
45880,67,Female,Black/African American,N= Not Hispanic Origin
45954,134,Female,White,N= Not Hispanic Origin
46324,201,Female,White,N= Not Hispanic Origin
46472,201,Female,White,N= Not Hispanic Origin
46731,201,Female,White,N= Not Hispanic Origin
46805,201,Female,White,N= Not Hispanic Origin
46916,268,Male,White,N= Not Hispanic Origin
46990,134,Male,White,N= Not Hispanic Origin
47064,0,Male,Black/African American,N= Not Hispanic Origin
47138,0,Female,Black/African American,N= Not Hispanic Origin
47175,0,Female,White,N= Not Hispanic Origin
47249,201,Female,White,N= Not Hispanic Origin
47545,201,Female,White,N= Not Hispanic Origin
47619,201,Male,Black/African American,N= Not Hispanic Origin
47693,201,Female,Black/African American,N= Not Hispanic Origin
47730,201,Male,Black/African American,N= Not Hispanic Origin
47804,201,Male,White,N= Not Hispanic Origin
47841,0,Male,White,N= Not Hispanic Origin
47878,134,Male,White,N= Not Hispanic Origin
47915,201,Male,White,N= Not Hispanic Origin
47952,0,Male,Black/African American,N= Not Hispanic Origin
48063,134,Male,White,N= Not Hispanic Origin
48322,201,Male,White,N= Not Hispanic Origin
48470,201,Male,Black/African American,N= Not Hispanic Origin
48544,201,Female,White,N= Not Hispanic Origin
48692,6834,Female,Black/African American,N= Not Hispanic Origin
48729,201,Female,White,N= Not Hispanic Origin
48766,134,Male,White,N= Not Hispanic Origin
49025,201,Male,Black/African American,N= Not Hispanic Origin
49284,0,Male,White,N= Not Hispanic Origin
49950,6834,Female,Black/African American,N= Not Hispanic Origin
49987,134,Male,Black/African American,N= Not Hispanic Origin
50172,134,Female,White,N= Not Hispanic Origin
50320,134,Male,Black/African American,N= Not Hispanic Origin
50431,134,Male,White,N= Not Hispanic Origin
50505,134,Female,White,N= Not Hispanic Origin
50727,134,Male,White,N= Not Hispanic Origin
50875,134,Female,Black/African American,N= Not Hispanic Origin
51541,0,Female,White,N= Not Hispanic Origin
51615,134,Female,Black/African American,N= Not Hispanic Origin
52318,134,Male,White,N= Not Hispanic Origin
52355,134,Male,White,N= Not Hispanic Origin
52651,134,Female,White,N= Not Hispanic Origin
52762,134,Female,Black/African American,N= Not Hispanic Origin
52873,134,Female,Other,N= Not Hispanic Origin
52910,0,Female,Black/African American,N= Not Hispanic Origin
53132,134,Male,White,N= Not Hispanic Origin
53243,134,Female,White,N= Not Hispanic Origin
53317,134,Female,White,N= Not Hispanic Origin
53650,134,Female,White,N= Not Hispanic Origin
53983,134,Female,White,N= Not Hispanic Origin
54020,134,Male,White,N= Not Hispanic Origin
54316,0,Female,Black/African American,N= Not Hispanic Origin
54760,134,Female,White,N= Not Hispanic Origin
54797,6968,Female,Black/African American,N= Not Hispanic Origin
55389,134,Male,Black/African American,N= Not Hispanic Origin
55574,134,Female,White,N= Not Hispanic Origin
55759,134,Male,Black/African American,N= Not Hispanic Origin
55944,134,Female,White,N= Not Hispanic Origin
56351,134,Female,White,N= Not Hispanic Origin
56647,134,Female,White,N= Not Hispanic Origin
56795,134,Female,White,N= Not Hispanic Origin
57424,134,Female,White,N= Not Hispanic Origin
57572,134,Female,White,N= Not Hispanic Origin
57683,0,Male,White,N= Not Hispanic Origin
57720,134,Female,Black/African American,N= Not Hispanic Origin
57757,134,Male,White,N= Not Hispanic Origin
57831,134,Female,Black/African American,N= Not Hispanic Origin
57868,134,Female,White,N= Not Hispanic Origin
57979,134,Female,White,N= Not Hispanic Origin
58201,134,Male,White,N= Not Hispanic Origin
58460,134,Male,Black/African American,N= Not Hispanic Origin
58645,134,Female,White,N= Not Hispanic Origin
59052,134,Male,White,N= Not Hispanic Origin
59126,134,Male,Black/African American,N= Not Hispanic Origin
59533,201,Female,White,N= Not Hispanic Origin
59866,134,Female,Black/African American,N= Not Hispanic Origin
59903,134,Female,White,N= Not Hispanic Origin
60014,134,Female,White,N= Not Hispanic Origin
60162,134,Female,Black/African American,N= Not Hispanic Origin
60347,134,Male,White,N= Not Hispanic Origin
60384,134,Female,White,N= Not Hispanic Origin
60717,134,Female,White,N= Not Hispanic Origin
60828,134,Male,White,N= Not Hispanic Origin
62197,134,Male,Black/African American,N= Not Hispanic Origin
62308,134,Female,White,N= Not Hispanic Origin
62382,201,Female,White,N= Not Hispanic Origin
62826,6834,Female,Black/African American,N= Not Hispanic Origin
62900,134,Female,White,N= Not Hispanic Origin
63048,134,Male,Black/African American,N= Not Hispanic Origin
63677,134,Female,White,N= Not Hispanic Origin
63899,134,Male,Black/African American,N= Not Hispanic Origin
63973,134,Male,White,N= Not Hispanic Origin
64047,134,Female,Black/African American,N= Not Hispanic Origin
64269,134,Female,Black/African American,N= Not Hispanic Origin
64306,134,Male,White,N= Not Hispanic Origin
64343,134,Female,White,N= Not Hispanic Origin
64380,134,Female,Black/African American,N= Not Hispanic Origin
64491,134,Female,White,N= Not Hispanic Origin
64750,134,Female,White,N= Not Hispanic Origin
64787,134,Female,White,N= Not Hispanic Origin
64898,134,Male,Black/African American,N= Not Hispanic Origin
65157,134,Female,White,N= Not Hispanic Origin
65194,134,Female,White,N= Not Hispanic Origin
65416,134,Male,White,N= Not Hispanic Origin
65453,134,Male,White,N= Not Hispanic Origin
65564,134,Female,White,N= Not Hispanic Origin
65638,134,Male,White,N= Not Hispanic Origin
65786,134,Female,White,N= Not Hispanic Origin
65823,134,Female,Black/African American,N= Not Hispanic Origin
66267,134,Male,White,N= Not Hispanic Origin
66341,134,Female,White,N= Not Hispanic Origin
66637,134,Female,White,N= Not Hispanic Origin
66674,134,Female,White,N= Not Hispanic Origin
66822,134,Male,White,N= Not Hispanic Origin
67007,134,Female,White,N= Not Hispanic Origin
67044,134,Male,White,N= Not Hispanic Origin
67081,134,Female,Black/African American,N= Not Hispanic Origin
67155,134,Female,White,N= Not Hispanic Origin
67303,134,Female,White,N= Not Hispanic Origin
67340,134,Female,Black/African American,N= Not Hispanic Origin
67525,134,Female,White,N= Not Hispanic Origin
67562,134,Female,Black/African American,N= Not Hispanic Origin
67599,134,Male,Black/African American,N= Not Hispanic Origin
67747,134,Female,White,N= Not Hispanic Origin
67784,134,Female,White,N= Not Hispanic Origin
67821,134,Female,Black/African American,N= Not Hispanic Origin
67932,134,Male,Black/African American,N= Not Hispanic Origin
68117,134,Male,White,N= Not Hispanic Origin
68265,134,Male,Black/African American,N= Not Hispanic Origin
68302,134,Male,White,N= Not Hispanic Origin
68450,201,Female,White,N= Not Hispanic Origin
68487,134,Female,Black/African American,N= Not Hispanic Origin
68635,134,Female,White,N= Not Hispanic Origin
68672,134,Female,Black/African American,N= Not Hispanic Origin
68857,134,Male,Black/African American,N= Not Hispanic Origin
68894,134,Female,Black/African American,N= Not Hispanic Origin
68968,134,Female,Black/African American,N= Not Hispanic Origin
69042,0,Male,White,N= Not Hispanic Origin
69153,134,Female,White,N= Not Hispanic Origin
69264,134,Male,White,N= Not Hispanic Origin
69412,134,Male,White,N= Not Hispanic Origin
69486,134,Female,White,N= Not Hispanic Origin
69597,134,Female,White,N= Not Hispanic Origin
69634,134,Male,Black/African American,N= Not Hispanic Origin
69819,134,Female,White,N= Not Hispanic Origin
69893,67,Female,White,N= Not Hispanic Origin
69967,134,Female,Black/African American,N= Not Hispanic Origin
70115,134,Female,White,N= Not Hispanic Origin
70374,134,Male,White,N= Not Hispanic Origin
70744,134,Male,Black/African American,N= Not Hispanic Origin
70929,134,Female,Black/African American,N= Not Hispanic Origin
70966,134,Male,White,N= Not Hispanic Origin
71151,134,Female,White,N= Not Hispanic Origin
71373,134,Female,White,N= Not Hispanic Origin
71558,134,Male,Black/African American,N= Not Hispanic Origin
71595,134,Male,Black/African American,N= Not Hispanic Origin
71632,134,Male,White,N= Not Hispanic Origin
71928,134,Female,White,N= Not Hispanic Origin
72853,6834,Female,Black/African American,N= Not Hispanic Origin
73260,268,Female,White,N= Not Hispanic Origin
73297,268,Female,White,N= Not Hispanic Origin
73371,268,Female,White,N= Not Hispanic Origin
73556,268,Male,White,N= Not Hispanic Origin
73815,268,Male,Black/African American,N= Not Hispanic Origin
74037,268,Female,Black/African American,N= Not Hispanic Origin
74148,268,Female,Black/African American,N= Not Hispanic Origin
74370,268,Male,White,N= Not Hispanic Origin
74592,6834,Male,Black/African American,N= Not Hispanic Origin
74814,268,Female,White,N= Not Hispanic Origin
75443,268,Female,White,N= Not Hispanic Origin
76072,268,Female,Black/African American,N= Not Hispanic Origin
76405,268,Male,Black/African American,N= Not Hispanic Origin
77034,268,Female,Black/African American,N= Not Hispanic Origin
77293,6834,Female,White,N= Not Hispanic Origin
77330,268,Male,Black/African American,N= Not Hispanic Origin
77663,268,Female,White,N= Not Hispanic Origin
77700,201,Male,White,N= Not Hispanic Origin
77811,268,Male,White,N= Not Hispanic Origin
78514,268,Male,Black/African American,N= Not Hispanic Origin
78958,134,Female,Other,N= Not Hispanic Origin
79069,134,Male,White,N= Not Hispanic Origin
79143,134,Male,White,N= Not Hispanic Origin
79550,134,Male,White,N= Not Hispanic Origin
79809,134,Male,White,N= Not Hispanic Origin
79883,134,Male,Black/African American,N= Not Hispanic Origin
79957,134,Female,Black/African American,N= Not Hispanic Origin
80031,134,Female,Black/African American,N= Not Hispanic Origin
80068,0,Male,White,N= Not Hispanic Origin
80216,0,Female,Black/African American,N= Not Hispanic Origin
80290,134,Female,Black/African American,N= Not Hispanic Origin
80401,268,Male,Black/African American,N= Not Hispanic Origin
80438,268,Male,Black/African American,N= Not Hispanic Origin
80512,268,Female,White,N= Not Hispanic Origin
80549,268,Male,Black/African American,N= Not Hispanic Origin
80586,268,Male,White,N= Not Hispanic Origin
80623,268,Female,White,N= Not Hispanic Origin
80734,268,Female,White,N= Not Hispanic Origin
80808,268,Female,Black/African American,N= Not Hispanic Origin
80845,268,Female,Black/African American,N= Not Hispanic Origin
80956,268,Male,White,N= Not Hispanic Origin
81030,268,Female,Black/African American,N= Not Hispanic Origin
81104,268,Male,White,N= Not Hispanic Origin
81289,6834,Female,White,N= Not Hispanic Origin
81400,268,Female,Black/African American,N= Not Hispanic Origin
81437,201,Male,White,N= Not Hispanic Origin
81474,268,Female,Black/African American,N= Not Hispanic Origin
81511,268,Male,Black/African American,N= Not Hispanic Origin
81548,268,Female,Black/African American,N= Not Hispanic Origin
81659,268,Male,Black/African American,N= Not Hispanic Origin
81807,201,Male,Black/African American,N= Not Hispanic Origin
82066,268,Male,White,N= Not Hispanic Origin
82399,6834,Female,White,N= Not Hispanic Origin
82510,268,Female,White,N= Not Hispanic Origin
83028,268,Female,Black/African American,N= Not Hispanic Origin
83361,268,Male,White,N= Not Hispanic Origin
83398,268,Female,Black/African American,N= Not Hispanic Origin
83509,6834,Female,White,N= Not Hispanic Origin
83731,268,Female,White,N= Not Hispanic Origin
83842,6834,Female,White,N= Not Hispanic Origin
83879,268,Female,White,N= Not Hispanic Origin
84175,268,Female,Black/African American,N= Not Hispanic Origin
84249,268,Male,White,N= Not Hispanic Origin
84767,268,Male,Black/African American,N= Not Hispanic Origin
84989,268,Female,White,N= Not Hispanic Origin
85211,268,Female,White,N= Not Hispanic Origin
85359,268,Female,White,N= Not Hispanic Origin
85544,268,Male,White,N= Not Hispanic Origin
85914,268,Female,Black/African American,N= Not Hispanic Origin
86284,6834,Male,White,N= Not Hispanic Origin
86506,201,Female,White,N= Not Hispanic Origin
86617,268,Female,White,N= Not Hispanic Origin
86987,268,Female,White,N= Not Hispanic Origin
87135,268,Female,White,N= Not Hispanic Origin
87394,268,Female,White,N= Not Hispanic Origin
87431,268,Female,Black/African American,N= Not Hispanic Origin
87875,201,Female,White,N= Not Hispanic Origin
87949,268,Male,Black/African American,N= Not Hispanic Origin
88467,67,Female,Black/African American,N= Not Hispanic Origin
90650,201,Female,Other,N= Not Hispanic Origin
90687,201,Female,White,N= Not Hispanic Origin
90724,201,Female,White,N= Not Hispanic Origin
90761,201,Female,White,N= Not Hispanic Origin
90798,201,Male,White,N= Not Hispanic Origin
90909,201,Female,White,N= Not Hispanic Origin
91427,268,Female,Black/African American,N= Not Hispanic Origin
91575,268,Female,White,N= Not Hispanic Origin
91612,268,Male,Black/African American,N= Not Hispanic Origin
91649,268,Female,White,N= Not Hispanic Origin
91982,201,Male,White,N= Not Hispanic Origin
92056,268,Male,Black/African American,N= Not Hispanic Origin
92093,268,Female,White,N= Not Hispanic Origin
92352,134,Male,White,N= Not Hispanic Origin
92389,268,Male,White,N= Not Hispanic Origin
92537,268,Male,White,N= Not Hispanic Origin
92611,268,Male,Black/African American,N= Not Hispanic Origin
92759,201,Female,White,N= Not Hispanic Origin
92907,268,Female,White,N= Not Hispanic Origin
92981,268,Female,White,N= Not Hispanic Origin
93129,268,Male,Black/African American,N= Not Hispanic Origin
93166,0,Male,White,N= Not Hispanic Origin
93203,6834,Male,White,N= Not Hispanic Origin
93388,268,Male,Black/African American,N= Not Hispanic Origin
93573,268,Female,Black/African American,N= Not Hispanic Origin
93721,268,Female,White,N= Not Hispanic Origin
93758,268,Female,White,N= Not Hispanic Origin
93795,268,Male,White,N= Not Hispanic Origin
93832,6834,Male,White,N= Not Hispanic Origin
93869,268,Female,Black/African American,N= Not Hispanic Origin
94017,134,Male,White,N= Not Hispanic Origin
94054,268,Male,White,N= Not Hispanic Origin
94461,268,Male,White,N= Not Hispanic Origin
94572,268,Female,Black/African American,N= Not Hispanic Origin
94609,268,Female,Black/African American,N= Not Hispanic Origin
94683,201,Female,White,N= Not Hispanic Origin
94720,6834,Male,White,N= Not Hispanic Origin
94757,268,Female,White,N= Not Hispanic Origin
94831,268,Male,White,N= Not Hispanic Origin
94905,268,Female,White,N= Not Hispanic Origin
95053,268,Male,White,N= Not Hispanic Origin
95090,268,Female,White,N= Not Hispanic Origin
95164,268,Male,White,N= Not Hispanic Origin
95238,268,Female,White,N= Not Hispanic Origin
95349,268,Female,White,N= Not Hispanic Origin
95386,268,Female,Black/African American,N= Not Hispanic Origin
95497,268,Male,White,N= Not Hispanic Origin
95608,268,Female,White,N= Not Hispanic Origin
95793,268,Female,White,N= Not Hispanic Origin
96681,6834,Female,White,N= Not Hispanic Origin
96940,134,Female,Black/African American,N= Not Hispanic Origin
97384,134,Female,White,N= Not Hispanic Origin
97458,67,Male,White,N= Not Hispanic Origin
97976,134,Male,White,N= Not Hispanic Origin
98087,134,Female,Black/African American,N= Not Hispanic Origin
99345,268,Male,White,N= Not Hispanic Origin
99974,201,Female,White,N= Not Hispanic Origin
100122,67,Female,White,N= Not Hispanic Origin
100270,134,Male,White,N= Not Hispanic Origin
100640,134,Female,White,N= Not Hispanic Origin
100788,134,Male,Black/African American,N= Not Hispanic Origin
100862,201,Female,White,N= Not Hispanic Origin
101158,268,Female,Black/African American,N= Not Hispanic Origin
101306,134,Female,Black/African American,N= Not Hispanic Origin
101787,7102,Female,White,N= Not Hispanic Origin
101824,201,Male,White,N= Not Hispanic Origin
102231,67,Female,White,N= Not Hispanic Origin
102712,0,Female,White,N= Not Hispanic Origin
103341,134,Female,White,N= Not Hispanic Origin
103378,67,Male,White,N= Not Hispanic Origin
103600,67,Male,White,N= Not Hispanic Origin
103637,134,Female,White,N= Not Hispanic Origin
103785,134,Female,White,N= Not Hispanic Origin
104562,0,Male,Asian,N= Not Hispanic Origin
104821,134,Female,Black/African American,N= Not Hispanic Origin
104895,201,Female,White,N= Not Hispanic Origin
107041,134,Male,Other,N= Not Hispanic Origin
107448,67,Female,White,N= Not Hispanic Origin
